Email;Event;EyeCenter0X;EyeCenter0Y;EyeCenter0Z;EyeCenter1X;EyeCenter1Y;EyeCenter1Z;Framecount;GazeConfidence;GazeDistance;GazeNormal0X;GazeNormal0Y;GazeNormal0Z;GazeNormal1X;GazeNormal1Y;GazeNormal1Z;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HeadCameraRotTravelX;HeadCameraRotTravelY;HeadCameraRotTravelZ;LeftControllerPosTravelX;LeftControllerPosTravelY;LeftControllerPosTravelZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerRotTravelX;LeftControllerRotTravelY;LeftControllerRotTravelZ;LocalGazeDirectionX;LocalGazeDirectionY;LocalGazeDirectionZ;PupilTime;PupilTimeSample;RightControllerLaserPosTravelX;RightControllerLaserPosTravelY;RightControllerLaserPosTravelZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosTravelX;RightControllerPosTravelY;RightControllerPosTravelZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerRotTravelX;RightControllerRotTravelY;RightControllerRotTravelZ;SessionID;Timestamp;UnityToPupilTimeOffset;ViewportLowerLeftX;ViewportLowerLeftY;ViewportLowerLeftZ;ViewportLowerMiddleX;ViewportLowerMiddleY;ViewportLowerMiddleZ;ViewportLowerRightX;ViewportLowerRightY;ViewportLowerRightZ;ViewportUpperLeftX;ViewportUpperLeftY;ViewportUpperLeftZ;ViewportUpperMiddleX;ViewportUpperMiddleY;ViewportUpperMiddleZ;ViewportUpperRightX;ViewportUpperRightY;ViewportUpperRightZ;WorldGazeDirectionX;WorldGazeDirectionY;WorldGazeDirectionZ;WorldGazeHitObjectIsMole;WorldGazeHitObjectIsWall;WorldGazeHitObjectMoleID;WorldGazeHitObjectName;WorldGazeHitPositionX;WorldGazeHitPositionY;WorldGazeHitPositionZ;WorldGazeOriginX;WorldGazeOriginY;WorldGazeOriginZ
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5584;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0141;1.1971;-0.0917;3.6148;5.5741;0.8418;0.0319;0.0014;0.0157;0.0000;0.0000;0.0000;-0.1179;0.8069;0.1852;286.0787;346.7276;9.8627;0.0024;0.0090;0.0084;NULL;NULL;NULL;NULL;NULL;0.0356;0.0187;0.0034;-393.6252;-819.3699;-414.5145;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2386;0.9898;0.2712;287.1913;311.1365;59.5520;0.0124;0.0676;0.1316;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.8746;NULL;-2.0301;-0.8050;4.2967;0.4838;-2.3001;3.4138;3.1257;-0.5021;3.7433;-2.7435;2.4003;5.2836;0.6654;4.6488;6.0812;3.1547;2.4896;4.4579;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5585;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0141;1.1971;-0.0916;3.6397;5.5639;0.8386;0.0249;0.0102;0.0032;0.0001;0.0000;0.0000;-0.1178;0.8069;0.1852;286.0771;346.8112;9.8100;0.0016;0.0836;0.0526;NULL;NULL;NULL;NULL;NULL;0.0081;0.0035;0.0149;-393.6170;-819.3663;-414.5294;0.0000;0.0000;0.0000;0.0000;0.0001;0.0000;0.2386;0.9897;0.2712;287.1922;311.1446;59.6150;0.0009;0.0081;0.0630;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.8986;NULL;-2.0310;-0.8067;4.2955;0.4829;-2.3017;3.4124;3.1249;-0.5040;3.7431;-2.7443;2.3982;5.2836;0.6647;4.6461;6.0828;3.1541;2.4873;4.4590;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5586;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0141;1.1970;-0.0916;3.6383;5.5329;0.8325;0.0014;0.0310;0.0061;0.0000;0.0000;0.0001;-0.1177;0.8069;0.1853;286.0827;346.8801;9.7139;0.0057;0.0689;0.0962;NULL;NULL;NULL;NULL;NULL;0.0205;0.0162;0.0122;-393.5965;-819.3825;-414.5172;0.0000;0.0000;0.0000;0.0000;0.0001;0.0000;0.2387;0.9896;0.2712;287.1628;311.2686;59.4237;0.0294;0.1241;0.1913;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.9256;NULL;-2.0336;-0.8064;4.2946;0.4807;-2.3017;3.4129;3.1227;-0.5043;3.7449;-2.7471;2.3986;5.2822;0.6617;4.6461;6.0831;3.1518;2.4871;4.4607;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;0.0327;0.0046;-0.0159;-0.0320;-0.0029;0.0173;5587;0.7880;0.0950;-0.1846;-0.1286;0.9744;-0.6100;-0.3513;0.7103;0.0141;1.1970;-0.0916;3.6615;5.5284;0.8322;0.0232;0.0045;0.0002;0.0001;0.0000;0.0000;-0.1176;0.8069;0.1853;286.0832;346.9296;9.6743;0.0005;0.0495;0.0396;-0.4817;-0.2476;0.8406;270212.147589;270211.9306275;0.0244;0.0190;0.0144;-393.5721;-819.4015;-414.5028;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2386;0.9896;0.2712;287.1767;311.3362;59.3764;0.0139;0.0676;0.0473;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.9546;270113.136469653;-2.0340;-0.8082;4.2936;0.4803;-2.3032;3.4115;3.1223;-0.5060;3.7445;-2.7474;2.3966;5.2825;0.6614;4.6436;6.0846;3.1515;2.4851;4.4615;-0.3966;-0.3078;0.8649;NULL;FALSE;-1;NULL;0.0000;0.0000;0.0000;0.0141;1.1970;-0.0916
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5588;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0141;1.1971;-0.0915;3.6666;5.5289;0.8469;0.0051;0.0005;0.0147;0.0001;0.0000;0.0000;-0.1175;0.8069;0.1853;286.0776;346.8867;9.7088;0.0056;0.0429;0.0345;NULL;NULL;NULL;NULL;NULL;0.0036;0.0057;0.0082;-393.5685;-819.4072;-414.4946;0.0000;0.0000;0.0000;0.0000;0.0000;0.0001;0.2386;0.9896;0.2714;287.2113;311.2573;59.4429;0.0346;0.0789;0.0664;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.9736;NULL;-2.0335;-0.8091;4.2935;0.4811;-2.3034;3.4112;3.1227;-0.5056;3.7444;-2.7478;2.3953;5.2827;0.6605;4.6431;6.0851;3.1511;2.4854;4.4618;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5589;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0141;1.1971;-0.0915;3.6801;5.5361;0.8744;0.0135;0.0072;0.0275;0.0001;0.0000;0.0001;-0.1176;0.8069;0.1853;286.0772;346.8940;9.7056;0.0004;0.0073;0.0032;NULL;NULL;NULL;NULL;NULL;0.0040;0.0234;0.0429;-393.5725;-819.3839;-414.5375;0.0000;0.0000;0.0000;0.0001;0.0001;0.0000;0.2386;0.9895;0.2713;287.2249;311.1904;59.4992;0.0136;0.0669;0.0563;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:39.9976;NULL;-2.0322;-0.8113;4.2931;0.4830;-2.3042;3.4102;3.1238;-0.5053;3.7437;-2.7478;2.3926;5.2833;0.6595;4.6417;6.0860;3.1509;2.4855;4.4618;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5590;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0141;1.1971;-0.0914;3.6861;5.5303;0.8773;0.0060;0.0058;0.0029;0.0000;0.0000;0.0000;-0.1176;0.8069;0.1852;286.0668;346.8612;9.7337;0.0105;0.0327;0.0281;NULL;NULL;NULL;NULL;NULL;0.0011;0.0095;0.0201;-393.5736;-819.3933;-414.5175;0.0000;0.0000;0.0000;0.0001;0.0001;0.0000;0.2385;0.9896;0.2714;287.2134;311.1882;59.4660;0.0115;0.0022;0.0331;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:40.0216;NULL;-2.0327;-0.8118;4.2927;0.4827;-2.3045;3.4099;3.1234;-0.5056;3.7439;-2.7485;2.3919;5.2832;0.6587;4.6411;6.0865;3.1504;2.4852;4.4624;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5591;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0139;1.1971;-0.0914;3.6905;5.5363;0.8971;0.0044;0.0060;0.0198;0.0000;0.0000;0.0000;-0.1176;0.8069;0.1852;286.0713;346.9055;9.6821;0.0045;0.0443;0.0517;NULL;NULL;NULL;NULL;NULL;0.0000;0.0000;0.0000;-393.5965;-819.3890;-414.5310;0.0000;0.0000;0.0000;0.0001;0.0001;0.0001;0.2384;0.9897;0.2714;287.2150;311.3055;59.3420;0.0016;0.1173;0.1240;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:40.3156;NULL;-2.0318;-0.8130;4.2927;0.4840;-2.3048;3.4095;3.1241;-0.5050;3.7434;-2.7486;2.3904;5.2835;0.6579;4.6406;6.0868;3.1502;2.4857;4.4622;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5592;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0130;1.1971;-0.0916;3.5315;5.3711;1.0426;0.1590;0.1652;0.1455;0.0004;0.0000;0.0000;-0.1181;0.8069;0.1852;286.1135;346.6111;9.9685;0.0422;0.2944;0.2864;NULL;NULL;NULL;NULL;NULL;0.0000;0.0000;0.0000;0.1752;-0.0281;6.4837;0.0000;0.0000;0.0000;0.0007;0.0008;0.0001;0.2377;0.9905;0.2714;287.2309;310.8536;59.7763;0.0159;0.4518;0.4343;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:40.4357;NULL;-2.0404;-0.8076;4.2913;0.4822;-2.2945;3.4196;3.1163;-0.4865;3.7569;-2.7692;2.3962;5.2719;0.6286;4.6580;6.0798;3.1318;2.5060;4.4683;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;0.0327;0.0046;-0.0159;-0.0320;-0.0028;0.0173;5593;0.8018;0.2522;-0.0118;0.2362;0.9716;-0.2062;-0.5513;0.8085;0.0116;1.2044;-0.0926;0.0879;4.5580;0.4205;3.4436;0.8130;0.6221;0.0001;0.0001;0.0003;-0.1182;0.8071;0.1849;286.0783;346.6980;9.8640;0.0352;0.0869;0.1045;-0.1311;-0.1769;0.9755;270212.705265;270212.6155065;0.0253;0.0795;0.1262;0.2004;-0.1575;6.3575;0.0000;0.0000;0.0000;0.0004;0.0012;0.0006;0.2373;0.9893;0.2707;287.2687;310.9652;59.4060;0.0378;0.1116;0.3703;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:40.5117;270113.136469653;-2.1136;-0.5194;4.3748;0.4117;-2.0697;3.6304;3.0518;-0.2582;3.8942;-2.8363;2.7419;5.1487;0.5637;5.0309;5.8653;3.0756;2.7719;4.4226;-0.0519;-0.1794;0.9824;NULL;TRUE;-1;Wall Manager;-0.3437;-0.0246;6.6826;0.0116;1.2044;-0.0926
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;5594;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0094;1.2139;-0.0978;355.5743;3.1359;0.2418;355.4864;1.4221;0.1786;0.0008;0.0006;0.0001;-0.1189;0.8077;0.1851;286.1915;346.0744;10.5059;0.1132;0.6236;0.6419;NULL;NULL;NULL;NULL;NULL;0.0530;0.1042;0.1222;0.2535;-0.0840;6.4798;0.0000;0.0000;0.0000;0.0012;0.0004;0.0011;0.2385;0.9889;0.2696;286.6814;314.3777;54.5537;0.5873;3.4125;4.8522;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:40.5547;NULL;-2.2247;-0.1597;4.4374;0.3203;-1.7558;3.8802;2.9508;0.0791;4.0660;-2.9704;3.1501;4.9339;0.4079;5.4991;5.5521;2.9578;3.1415;4.3546;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;0.0327;0.0046;-0.0159;-0.0320;-0.0028;0.0173;5595;0.9045;0.5744;-0.0317;0.3146;0.9487;-0.0682;-0.4162;0.9067;0.0085;1.2153;-0.1002;354.6967;2.5735;0.3599;0.8776;0.5624;0.1181;0.0005;0.0014;0.0014;-0.1194;0.8090;0.1864;286.6086;346.1207;10.4013;0.4171;0.0463;0.1047;-0.0561;-0.0563;0.9968;270212.788287;270212.6919515;0.0671;0.4552;0.1648;0.3206;0.3510;6.3149;0.0000;0.0000;0.0000;0.0015;0.0015;0.0014;0.2399;0.9904;0.2682;285.5946;318.3279;48.9534;1.0868;3.9502;5.6003;c0f1f606-0485-4810-a4ed-3efe6618ed31;2023-01-24 13:24:40.5947;270113.136469653;-2.2655;-0.0957;4.4336;0.2891;-1.6927;3.9253;2.9126;0.1525;4.1084;-3.0251;3.2191;4.8725;0.3406;5.5869;5.4874;2.9084;3.2189;4.3505;-0.0109;0.0357;0.9993;NULL;FALSE;503;DiskMole(Clone);-0.0634;1.4760;6.5495;0.0085;1.2153;-0.1002
